Subj #,,Win 1_2,Win 3_4,Win 5_6,Win 7_8,Win 9_10,,Spr 1_2,Spr 3_4,Spr 5_6,Spr 7-8,Spr 9-10,,CPD_Q1,CPD_Q2,CPD_Q3
83,,"For my activity, I decided to do some physical activity and go play basketball at the IMA with some of my pharmacy friends.","For self care this week, I decided to rest/relax by taking a 25 minute power nap!","For my activity, I watched the tv series Mindhunter with my girlfriend!","For my self care this week, I switched up my study routine and went to a coffee shop with my friend! We caught up for a bit with life, and then studied for class together.",I switched WIP shifts with the gold cohort this week. So I did my self care today and attended church mass for Ash Wednesday!,,"For this week, I was able to visit home in San Diego and play outside and get some fresh air with my dog!!",I worked out legs and shoulders with my friend at the IMA this morning! Trying to get back on a routine this spring quarter.,"For my activity this week, I played softball with some other pharmacy friends in the IMA league that we're in here at school! We lost but we made sure to represent the pharmacy school well (against the dentistry team)!","For my self care, I worked out biceps and back at the gym with [a classmate]!","For my self care, I took a break from studying by watching a disney movie to bring back the memories as a kid! I watched THE best disney movie of all time: Toy Story 2.",,This class time has allowed me to be in touch with my emotions more and understand that going through what I go through is okay because a lot of others are going through the same thing. Also I learned there is no right what to cope with stress and it is okay that way I do it now.,"I decided on the activity based on how much sleep I was getting, which helped me decide to go out and connect with others, or if I did not get enough sleep, I would take that time for myself.","I wouldn’t think too much about my choice, which affected me positively because I just listened to what my body and mind needed."
84,,"My sleeping schedule has been off for the last few weeks and I haven't been getting enough sleep. After awhile it starts to take a toll on you physically, mentally and emotionally. I know we were suppose to spend 20 minutes on our chosen activity but I actually took a 2 hour nap randomly yesterday and it was the best nap I've ever had in my life. It felt like a reset and I woke up full of energy. ","This week I actually met up with a friend that I haven't seen for some time. It was great, we picked things up right where we left them, it's as if we've missed no time away from each other. Great energy. Much needed and I'm thankful for them. ","During that week, I was feeling a bit under the weather, so I decided to take a short walk around my neighborhood just to get some fresh are and clear my mind. It was a good walk, and it was also a walk down memory lane because I walked by my old elementary school, and I seen some kids playing in the playground (must've been recess) and I remember when that use to be me not long ago. It was refreshing and also a humbling experience. ",Sometimes things slip away and I get overwhelmed. I spent this weeks self care time catching up on assignments that I missed or assignments that needed to be redone. Well needed time to catch up and hopefully I'll stay on track and not over prioritize a course and not give enough time to the other course. ,"I took Wednesday's designated class time and studied for finals. Finals are in a few days and I've been feeling really anxious, so I gave myself more time to study on subjects I didn't feel as confident in. Around this time next week, I'll be stress free and on spring break. Woohoo!",,Today is day 5 out of 30 for Ramadan so I plan on giving myself extra time today to reflect and pray. Also will take the time to do some extra reading. ,"I had extra time today to go to the grocery store and pick up somethings I haven't had the chance to. Its the 19th day of Ramadan today (11 more days to go), so I got myself somethings that I plan on breaking my fast with this evening. Can't wait! ","I took this time going over all the onboarding requirements needed for my IPPE site this summer. Since I will be at a different facility this summer than my WIP site, there is a lot of things I need to complete. I’ve submitted a lot of the required documents throughout the week but there are still a few missing things I need to turn in. I’m taking this time to gather all other required documents and complete all my onboarding. ","I am physically tired, I’ve had an eventful week. I’ve decided to take a nap today. I rarely take naps but I’m so tired I’m going to treat myself to some extra shut eye. Goodnight! ","As the last week of our first year of Pharmacy school is coming to an end, I gave myself this time to reflect and just appreciate the amazing year. The good and the bad overall this year was more than what I have ever imagined and I am so grateful I had the opportunity to experience it with such genuine people. Also did a little retail therapy today to lessen the stress of finals week :) ",,"It has helped me a lot because it gives me time I need to focus on things I wouldn’t otherwise find time to do. Also, I really enjoyed the mentor group meeting these last two quarter. My peers and I got to know each other very well and it gave us a space to be free and support each other. ",I would choose my activity based off how my week went. If it’s a week that I have an exam or something heavy scheduled than I would usually take this time to do something for myself because I’m certain I wont find time to do anything for myself the rest of the week until I am done stressing about the upcoming exam. ,It helped me a lot. Those few minutes always felt like a breath of fresh air and I am so grateful for that. 
85,,I spent my time this week going for a run through Volunteer Park.,"To self-care this week I spent the afternoon going for a longer run, continuing my ongoing schedule of longer runs on Wednesdays when classes are light.",Spent this time cleaning my apartment to create a cleaner space for myself,I went for a run around lake Union,"I FaceTime-ed my friend and helped him with a project he was working on, and then got to spend some virtual time with him.",,For this self care (and most of my spring break) I sat out on my patio with a non-school book and soaked in some sunlight and relaxed.,"My self-care this week was largely mediated by my immune system fighting off whatever spring cold is going around. I supported my immune system buy drinking a ton of tea, staying home, and making sure I was healthy before going back in to school/work so not to put my classmates or colleagues at risk. ",I went for a run out in the sun.,"I took a nap after class that admittedly was much longer than intended, as is evidenced by the time of the submission ",I went for a hike.,,"The class time dedicated to health and wellness was appreciated and important, but at times felt a bit tedious. I had to take time after finishing my undergraduate to take care of my mental health and develop strategies to handle them, so I understand this is important content for those who didn’t have that opportunity.  ","I didn’t put much thought into my choice, and ended up doing the same thing each week, but it was nice to have the opportunity and accountability in place to make sure I went for a run at least once per week. ","The time I spent on self-care was helpful in continuing my accountability for my exercise routine, something that is surprisingly difficult to uphold, even as a bike commuter (My bike ride isn’t long enough for a full workout, but to get home from my bike ride and turn around and go for a run feels too long!). "
86,,The other day one of my best friends and I went on a hike at Heather Lake. It was hard to go outside and take time for myself because I feel like a failure whenever I think of doing something for myself during school. My friend encouraged me and I did not regret going one bit. ,"For my wellness self-care activity, it doesn't particularly resonate with just one day. But this week I started a transformation challenge at one of my favorite group gyms I used to attend. It's at orange theory, although it is a group workout, I was able to re-establish a connection with myself and my love for working out, especially running! ","I was able to run at my high school's football stadium recently, where I used to run almost every day, and it was nice to reconnect because I used to have soccer games there, track meets there, and performed at half time with my high schools marching band during football games. ","This week I was able to take a day to myself and go out with my sister. Although I felt guilty taking time for myself, hanging out, shopping, and getting lunch with my sister was really fun because I don’t see her that often. It felt really refreshing! ",This week I got back into making paracord bracelets and spent some time doing that this week. It was really relaxing and I hope to be doing it regularly now because it helps give my mind a break. ,,This week I finally decided to get my small business up and running. I make paracord bracelets and other crafts with paracord such as paracord water bottle handles. I do it for relaxation but a few of my classmates expressed interest in me making some for them so I decided to pursue one of my dreams of opening up an etsy shop to sell my paracord crafts!,Some classmates and I made an intramural soccer team and it was really nice to start playing soccer again! I didn’t want to join at first because in the back of my mind I was thinking that it’s taking away from study time and that I don’t deserve to do something that makes me happy. I pushed past that barrier and played a game yesterday and I was so happy that I joined!,I went on a walk around Green Lake with my mom and it was nice because I haven't been there since lockdown. ,For my health wellness self-care activity this week I had allowed myself to sleep in on Sunday morning. When we had midterms during the week I find it hard to take time to sleep. I was really drained after midterms. Fridays I work 6-9 pm and Saturdays I work at 8:45 am so it's difficult to find time to rest after midterms. Sunday I finally got some needed rest!,I connected with nature by going on a hike in Central Washington called Umtanum Ridge Crest Trail. It was very difficult but a lot of fun! [photo of landscape from the top of the ridge],,"Honestly speaking I feel like although this class is geared toward health and wellness it is still hard to take time for myself and appreciate self-care. Although this spring quarter I have done more self-care than previous quarters, it is still hard. I do really appreciate the time the instructors put into the class and I enjoy the mini group sessions.","I decided to participate in choices such as connect to the environment where I went hiking a
couple times, create where I started getting back into making paracord, rest/relax such as
running or taking a walk. What influenced my decision was mostly the weather but also how
I was feeling. Did I need something to distract me? I would do paracord. Did I need something to get my adrenaline pumping? I would run. Did I need time to escape from the busy world we are in? I would hike.","It affected me in a positive way once I had done it, but it also affected me negatively. Negatively as in I am still working on getting over the sense of guilt for taking self-care time
for myself."
87,,For my self-care today I took a nice warm shower and an hour and a half nap (1 REM cycle). I normally don't take naps but getting back to school and jumping right in has made me physically and mentally exhausted so a nap helped a lot. :),This week for my health wellness self-care I took a break from studying for the PCEUT midterm and watched an episode of Friends with my housemates while eating dinner to relax and give myself a break.,"This week for my well-being self-care I scheduled a long-overdue appointment to get my lower legs sugared (waxed) as my self-care and it was very satisfying. I honestly think it feels like getting a massage which I am also long-overdue for haha. Getting a massage might be something to think about for spring break though, we'll see. ;)",I'm practicing a nurture connection via social connectedness. I am studying with two different friends today and tomorrow to allow myself to connect with friends while also being productive for my mental health.,Today for my well-being I got to enjoy the sunshine a bit and went on a walk on the Interurban Trail in Shoreline and listened to a podcast I like while doing so. It was very refreshing and helped me refocus and get motivated to continue studying for finals. :),,"For this week's activity, I went to dinner with some friends of mine from school as a study break and to connect with them in a way that is not school-related. :)","Well, this week's health and wellness look different for me as I am in Covid quarantine. I have been making sure to drink lots of fluids/water and getting as much rest as I can between completing assignments and studying for the many midterms we have this and next week. I have been Face-Timing family and friends to keep my spirits up and my boyfriend has been a wonderful help.",This week/today for my well-being activity I made sure to catch up on and get ahead of my school work in order to participate in a dinner event for kappa psi with some of my fellow classmates to enjoy their company outside of studying. :),Today for my Health wellness and self-care I am going shopping to find my White Coat ceremony outfit and also playing water balloon dodgeball with some friends. I made sure to get ahead on my homework/studying so I could be fully available to do these things. :),For my health and well-being this week I am getting my nails done with my roommate before she goes on a trip at the end of this week! :) ,,"Gaining some guidance and reassurance from Dr. Chang during my mentor meetings and connecting with my group mates during our mentor team meetings helped me feel more confident in this program. I feel closer to a lot of my classmates are getting many opportunities to work together. From the compassionate communication session, I have learned how to strengthen my interactions with classmates, patients, and preceptors at my internship and WIP site. ","I chose my self-care method each week based on if interacting with others would make me feel better or if alone/individual time would be better. I also tried to do something different every week in an attempt to see what helps me reset and feel the best. What I did also depended on the weather too. As we have been getting later into the spring and the weather has gotten nicer, I have been trying to do more things outside because I love being outdoors in nature.","As I mentioned above, it helped me to remind myself to do selfcare activities which in the long run helped me refocus and be a better student overall. Thank you for giving us the time and encouraging us to focus on our well-being. "
88,,I took a nap and later attended Daily Mass at my church.,"I took a 30-minute nap and felt so refreshed! Afterward, I went to the store to buy some veggies so I can cook a nutritious meal tomorrow.I appreciated the discussion on growth mindset. I used to struggle with a fixed mindset, so having these reminders is always so nice. ",I got drinks with a friend and caught up with her for a while.,I cooked a good meal for myself and my boyfriend.,"I'm sorry - I didn't realize I didn't submit this. I don't remember what I did on Wednesday, but later on in the week, I made a point to sit and enjoy my coffee in the morning rather than chugging it. I felt refreshed and ready for the day.",,I will be spending time with my roommates and shopping - it will be a nice break from thinking about school!,"I am going to make myself a yummy, heart-healthy sandwich instead of ramen:)",I will have a dedicated amount of time today to have no screen time so I can give my eyes and brain a break.,I am going to the Ballard locks with my roommates because it is my happy place:),I am currently relaxing in a room at the Coeur d'Alene resort. Can't get much more self-caring than that:),,"I found I formed deeper connections with my friends and classmates when trying to do self-care. I am introverted, but I enjoyed forming those deeper connections and felt more fulfilled afterwards. ","I chose what I felt I needed most by listening to my body. For example, if I knew I had been hunched over my phone a lot that week, having a time to disconnect from technology was helpful. Or if I felt cooped up, going shopping or on a walk was good for me.",I felt like I had a dedicated time each week to focus on me whether I realized I needed it or not. I always try to give myself breaks but they don’t always fulfill the need I have that week. 
89,,"I took a walk from my apartment over to uvillage after class yesterday, then walked around uvillage and looked at the different shops! It was pretty nice and (relatively) warm outside so I had a good time.","Instead of taking the car, my classmate and I walked to campus from my apartment, and we took the link and walked around Capitol Hill to get lunch and dessert! I usually never get ice cream but I treated myself today.","I decorated my journal with stickers and tape and new pens that I got, and I wrote for the first time in a while!","My boyfriend and I went to the arcade again!! We got so many tickets I was able to win a plush I wanted from the prizes. We also spent the night putting together a puzzle which was really fun, challenging, and relaxing. ",I went to the arcade again!!! This time I tried playing and claw machines and my boyfriend and I won 4 plushies!!!!!!! We also won a ton of tickets for next time we go back. Today instead of taking the car we are walking to school since the weather is beautiful. ,,My boyfriend and I got a paint by numbers kit and it's super fun and relaxing to work on together!,I checked out a book at the library and started finding more time to read. It's called Such a Fun Age and I am excited to see how it ends!,I love watching youtube documentaries/video essays and I watched one today!,I got my first gunpla to build and it’s super fun and relaxing to focus on following the instructions to build the figure,Playing badminton at the IMA with my friends!,,"I really like that there is time dedicated to health and well-being. I am finding time to work on things that I enjoy, such as working on crafts and journaling. ","I usually choose something that is accessible to me. If there’s already a project I want to work on, I will use the free time as an opportunity to work on that. Sometimes the choice wheel will give me ideas such as the ones about connecting with nature.",Having time to practice self-care really helped me feel less burnt out. It also makes working on schoolwork feel more fulfilling when I can step away and do something that is fun and memorable.
90,,I chose to connect to the environment today and I made it better by playing Pokemon Go as I taking my walk to my neighborhood. I moved to this area last year but never gotten a chance to do it so I find this assignment is a good opportunity. ,"I took my dog out for a walk today at Woodland park, it was sprinkling and my dog surprisingly loved it. It has been a while since we got a chance to go out and enjoy the nature. ","I went out for a drink after exam, and realizing we have more exam. ",I tried to finish my note for one class then went out for food at one of the recommended restaurants that my mentor group made. It was worth a try. ,I have had a stressful week so I decided to put everything away and take a long walk to refresh my mind. I even treated myself with nice meals to remind myself there’s so much more valuable things in life.,,I have not talked to my mom for a while and I had an hour phone call wit my mom and it actually feel really nice. ,"As the weather has been super unpredictable lately, my usual walk has been disrupted. However, I tried out the indoor swimming pool at my apartment complex. It was very relaxing and perfect distressing period away from all of the studying.",I spent some time walking inside the mall and did some retail therapies. It hurt financially but it definitely soothe my soul. ,I spent 2 hours making wontons to destress myself from my busy schedule. Also got to use my new mini deep frier when cooking them wontons. [photo of uncooked wontons],We have a busy schedule this week as it gets closer to final so I spent my flex time doing my homework while listening to standup comedy. It was somewhat relaxing and very productive at the same time! ,,"Honestly, at first, I think it is unnecessary to have the class time to devote to health and wellness and self-care. However, as time goes by, I realize the importance of this. I spent lots of time studying and forgetting that I also need to take good care of myself as well. Having a class time to devote to health and wellness and self-care reminds me every week that I should at least spend some times to myself, and don’t overwork myself.","Since the school year started, and I start working at my intern sites and WIP, I learned that I am not comfortable with patients’ interactions. Hence, I always try to connect myself to nature during my self-care session every week. Lately, I have been gradually moving to spending more time with others to first, improving my social skills, second, opening to share my opinions to other. ","It helps me having time to myself, making me realize the importance of self-care and focusing more into balance out between self-care and studying will be the better idea, rather than fully devoting on studying and it will eventually affecting my final achievements."
91,,I found a few songs that I want to learn how to play on the guitar!,I made myself a fancy brunch. ,I made a fancy breakfast.,I worked on a 1000 piece puzzle.,I went for a 30 min walk on the Burke Gilman trail.,,I had lunch with my parents at U Village. ,I practiced mindfulness mediation. ,I spent some time journaling.,I went for a walk outside to enjoy the sunshine!,I had a tea party with friends and we ate lots of pastries!,,"Mentor team discussions were helpful in that they allowed me to get to know my classmates as well as the instructors better. It is nice to be able to have the time to just come together and talk about whatever is on our minds from test-taking strategies, study tips, WIP experiences, and favorite hobbies. Pharmacy school is very challenging but these sessions are a great reminders to have fun in this program also. ","The self-care activity that I choose simply depends on how I am feeling that particular day. There are days where I felt very stressed and overwhelmed and felt that spending some time self-reflecting, listening to music or meditating would help me to calm down. Other days I would feel extra hungry and decided to put more effort into making a nice meal. Other days I would feel a bit lonely and took the time to catch up with family or friends. The amount of time that I have to spare also influences what activity I choose. I understand that we are supposed to spend 20 minutes with our chosen activity, but there are days where I do have more time to spare and so I spend more time on self-care.  ","In the beginning when I first started doing these self-care activities, I felt a little stressed because I thought that it was taking time away from my studying. I thought “I am wasting my time. I could be spending these 20 minutes studying!” But after doing it a few times, I realized that self-care is not a waste of time. Self-care is so important to our mental health. I noticed that doing these self-care activities have brightened my day and they actually made me more productive throughout the day. They also give me something to look forward to. I started doing more of these self-care activities outside of our class time and they have really helped to improve my mood. "
92,,I listened to music.,Listen to music,Go to the gym.,Go to the gym.,Go to the gym.,,I went to the gym.,I went to the gym.,I listened to music.,I listened to music.,I listened to music.,,I was able to do what I needed and like to do to help with my mental health.,I had other goals I wanted to achieve that aligned with the options on the choice board.,"I was able to focus on myself for a certain amount of time, which was nice."
93,,I reached out to a friend planning how we can help each other this quarter.,I took a walk around campus. ,I cooked a meal for dinner.,I took a 20 minutes nap to relax.,I took a walk outside.,,I went out with friends to see the cheery blossom at Quad. ,I joined a study group with my friends to prepare Friday exam. ,I listened to relaxing music.,I joined a study group to prepare the Friday exam. ,I took a walk outside.,,[transcribed handwritten response]: It proveds time for me to relax and take care about myself. And I also communcated more with my peers and had the chance to know more about each other.,[transcribed handwritten response]: It might depend on the weather if I choose to go outdoor. And it might depend on the exam schedule if I choose to join a study group.,[transcribed handwritten response]: It provides the time for me to relax and have a break from heavy course workloads. It makes me feel better and gives me more energy when I am returning from break.
94,,"To relax and clear my mind from upcoming quizzes and exams, I did yoga for 20 minutes. Before entering the pharmacy program, I always did some exercise, and I missed doing it. It was nice to get up and stretch my body after zoom classes, and I hope to continue doing this.","I went out on a walk with my roommate to catch the sunset (although didn't see it because of the clouds). Due to our busy schedules and online zoom classes, we do not have much time to spend with each other and leave our rooms. It was nice to get out our rooms and stretch our bodies.","For my self-care, I took a nap for 30 mins. ",I took a walk around my apartment with my roommate.,Spoke to my friend over FaceTime to connect since we hadn't spoken in a long time. I felt much happier after sharing my feelings and thoughts with someone outside of school. Also helped me to take a break from studying.,,I went to see the cherry blossoms and see the Suzzallo library with my friends. Visiting the library has been one of the places to see since moving to Washington and I finally had the opportunity to visit. ,Went to dinner with other classmates to break the fast. Played card games afterward to relieve the stress of school. ,"For my self-care this week, I visited my family for a holiday. I had the opportunity to meet up with old friends, tour the city and relax at the end of the day by watching a movie. This was much needed after a week of exams.",took a walk outside with friends,"Took a nap to rest and relax. Finals are coming up, I have been stressed and not been getting adequate sleep. ",,I’m really happy that class time was devoted to health and wellness and self-care. It is difficult to make time for this and having a designated class time helped me drastically. My mental health was much better this quarter than the past ones. I also seen an improvement in my grades since implementing this and I think it is due to making time for myself other than just studying.  ,"I based it off how I was feeling that week. During exam weeks or when I was stressed, I leaned towards rest/relax or connecting with nature. When I was in relaxed mood, I would choose connecting with others.",It affected me positively and influenced me to try different things for self-care. 
95,,I went to the gym and read a book I've been wanting to read for a long time. ,I woke up early today and went to the gym right before class. I also made a charcuterie board for myself as a treat! ,I went to the gym and had dinner with my friends. ,I went to the gym and took my car to the shop. ,I went to the gym and washed my car. ,,I went to the gym this morning and cooked a really good sandwich. ,I went to the gym! ,I ran for 30 mins today! Going for 3miles for 30mins! ,I went grocery shopping and to the gym. ,Made breakfast and ran for 30 mins!!! ,,It was beneficial for me to have some free time to focus on my health and I think it’s important in general to take care of yourself and put all the stress aside for a few hours.,I would relax by going to the gym in the morning in which I don’t normally do since I hate waking early. But it gives me time to relax later in the afternoon by catching up on work or spend time with my families. ,It gives me a moment to really have time for myself rather than stress about school and due dates. My anxieties is turned down a little bit even just for a few hours. 
96,,Create: My goal is to make at least one meal a day (leftovers do not count and so I can only have leftovers 2/3 meals). Today I made poblano and black bean quesadillas with sour cream and lime sauce for lunch. ,Rest & Relax: I spent the afternoon working on a 800 piece puzzle. ,"This week I spent 20 minutes grocery shopping for a Lunar New Year dumpling making celebration I will host with 3 friends on Friday. We will be making dumplings, but it was nice to take time to aimlessly wander the grocery store and plan out the menu in the store versus planning too far ahead early. ",This week I made a puzzle with my friends and it was a nice way to relax and reset.,I volunteered at the Capitol Hill farmers market. It was great to spend a few hours getting to know Washington farmers and being a part of the local community.,,My self care for the week was making dinner for my PY2 friend and enjoying a night in catching up and hanging out.,I watched Bobs Burgers with my cat. :),I went to the Tulip Festival with other students I intern with.,[photo of student at rock climbing gym],Went to a concert with my friend from town!,,At times it felt somewhat didactic and inorganic. I think next year it would help to have more thoughtful exercises that require our active involvement. In class team building exercises would be valuable. ,"I tried to optimize what was already in my daily routine for self-care, especially solo time. Given all my internships and people-facing roles, it’s nice to dedicate time to value introspection and thoughtfulness. I say this with an assumption my cat is included in my solo time given how close him and I are. ","The time was pretty in line with how I typically focus on self-care, so the time didn’t add much value given the value was already there. It felt more like an assignment rather than organic."
97,,"An activity I actually did for about an hour was get back into drawing. I haven’t done it in awhile and I remembered that for me drawing was somewhat comforting and put my mind at ease. I was almost a way for me to get connected with myself and remember to not put too much pressure on myself and enjoy the process! The picture I drew was a tiger, one of my favorite animals.","Last time I drew a picture of a tiger, this time I decided to draw a picture of an anime character. I generally love watching anime so I decided to draw a picture of tanjiro; a character in demon slayer. I wasn’t able to finish it within twenty minutes, however, I hope to finish it up sometime this weekend.",This week I wanted to note how I went to the IMA to practice a little for basketball. I recently joined an inter mural basketball team with a couple of other pharmacy students and we all decided to shoot some hoops. This was very nice as it allowed me to focus on my physical as well as emotional health.,This week a couple of my classmates had dinner and bonded over school work and other activities. It was very relaxing just spend time outside of a classroom and get to understand each other’s goals in life.,"For my self care this week, I decided to make an original curry recipe for lunch. It took me at least two hours to actually make with an additional 30 minutes to come up with the recipe.",,The activity I chose to do was to get lunch with a couple of friends in my class. We went to this place called Sugo Hand Roll in Seattle which has been growing popularity. The food was amazing and would love to go again.,So I have been quite sick these past few days and today I am still sick so I have decided to take more rest. But I have also caught up on several homework assignments and have also studied for several upcoming midterms. Usually I would have gone outside but it was nice to just stay at home and catch up on lectures and study for several of my classes.,Today I took some time to catch up on homework as well start studying for my Medchem exam next Friday. It was definitely nice to be able to relax and try to be productive as well.,Something I decided to do was to start a new show on Netflix. With finals coming up soon I though it would be nice to have a nice day to myself.,"As finals week is coming up, I have been taking the time to study as much as I can while also taking a bit of time to relax and watch a show that I am really interested in. This has been very helpful as it relieves some of my stress.",,"Class time has been extremely beneficial to my health and wellness/self-car. From our off site WIP mentor team discussions, I can really feel like myself around others who are going through the same issues as I am. With the words of affirmation as well as understanding that there are several individuals that are readily available to help one another. The extra time we get after class on those days, I am able to practice several activities such as drawing or working out or even catching up on assignments, making me feel productive and happier by the minute.","The way I choose between connecting with other vs relaxing or even connecting with nature is dependent on my mood as well as how much work I have to do that week. On my weeks where I don’t have much stuff to do or exams coming up, I generally like to do activities that I particularly enjoy such as drawing or going out with friends for food. On weeks where I have heavier workload, I like to give myself time to relax for a bit and take a nap, play some music and listen or try to get some homework done.","The time spent on my choice of self care has affected me positively. It has allowed me time to concentrate on issues that needed to be addressed such as assignment, this has allowed me to feel productive and happier about what I have accomplished. All of this has been influencing my mental health and allowed me to remember that not everything needs to be rushed and that sometimes I need to give myself a bit of breathing room to regain focus."
98,,I went to go bouldering at a new place,I worked out for 30 minutes.,I read a book,I watched an episode of a tv show!,I went to get my nails done for a wedding this weekend,,I cooked food for myself for the week!,I read a comic book!,I made myself lunch and read a book,Spend time with family ,I meditated ,,It has helped me set aside time to prioritize my wellbeing. It helped me recognize that I need to take care of myself.,"I choose an activity depending on how stressed I am in that moment. I try to find what area is lacking, why I’m stressed and select an activity that would be most appropriate. ",I’ve developed healthier exercising habits. 
99,,I took a walk in my neighborhood for an hour. ,I started to do beginner friend HIIT three times weekly.,I went to a walk around the neighborhood with parents daily. ,I did a 30 minutes workout at home.,I walked around the neighborhood with my family. ,,I am going to watch the cherry blossom on campus tomorrow with my friends and take pictures. ,I form a study group with my friends for medicinal chemistry. ,"I went to the Swanson Nursery with my mom and bought a bulb of purple rose, tomato, and strawberries!!","I am gardening my roses and strawberries during this sunny week! I planted five bulbs of strawberries last fall and now they started to bear little fruit! This time, I might plan to make something cover around the strawberries since the birds eaten most of my strawberries last year. ","I went to exercise with my friends in IMA. IMA changed a lot, there’s not a lot of things to do there now.",,"The class time devoted to health and wellness and self-care allows me to understand how to interact with patients and improve our interprofessional teamwork. For example, the culture lecture demonstrates how to respect others' cultures as oneself during the patient education. The compassionate communication lecture taught us that we should not take one side before we understand the plot, limited to patient interaction and drug diagnosis within the team.  ","For the past quarter, I decided to participate in self-care, mainly focusing on rest/relaxation due to the heavy workload and information we need to consume during the first year of pharmacy school. Most of the time, various factors influenced my decision, including the sunny weather, the stress before the exams/midterms, the workloads during the day, working in the pharmacy, etc. ","Relaxing or resting for self-care helps smooth my stress by enjoying nature. For example, I love to go to the nursery with my family to buy plants or even enjoy driving around on a sunny day. When I focus on outdoor activities, I feel comfortable and relaxed, relieving my stress. "
100,,"Working out helps me to recharge mentally and physically. On Wednesday the 5th, I choice to work out at home for 45 minutes.","Today, I had an hour break and I chose to spend it with my mother. I helped her with making lunch for the family. We had a lot of fun together, and this one hour gave me a lot of positive energy. It's also helped me recharge and prepare for my upcoming exam on Friday.","I have a big midterm on Friday and been working hard to prepare for it. So, during this time I enjoyed taking a nap to recharge and resume studying. ","Today I spent my self care time with friends. We gathered and ate outside, they gave me a lot of positive energy and motivation to study for my midterm on Friday.","This week I took a quick walk on this sunny Wednesday, and read a book afterward.  ",,"Spending time with old friend helps a lot with my emotional well being. So, today I'll go to see one of old friends and spend some time to refresh memories.","Before starting to work on my homework and preparing for next week exam, I spent 20 minutes reading a chapter from the book in order to relax.","I used the remaining class time to practice patient education, then read another chapter of the book for self-care.",I used the remaining class time to practice for my job interview that was at 2:30 PM,I took a walk around the neighborhood to listen to the sounds of nature and enjoy the sunshine.,,"I found that over the past 3 quarters, it supported my health and wellness a lot, and I found myself to utilize the resources that was provided, or when needed. I found that the allowed time for heath and wellness is important and it gave me a chance to reflect on. ","I think for me, it was time and the situation. Sometimes, after doing well academically, I feel really good and want to relax, or enjoy some time by connecting with others, but sometimes, when things does not go as planned, I usually just connect with the closer ones, and ask for help when needed. ","It affected me positively, now I see some positive changes in my daily routine that has definitely helped me in many other aspects, than compared to like last year. "
101,,I spent 40 mins cleaning my study space. I also did laundry and folded my clothes. ,I went out for a drive around the neighborhood today. ,I spend some time with family. ,I went out with friends for dinner and spent the evening relaxing. ,I played with my nephew for an hour. ,,I went to Seward park and took a long walk with my friend. ,I went to Starbucks for coffee and planned an upcoming vacation with my sisters. ,I spent a day at a city park and enjoyed nature. ,I spend some time watching a Netflix movie last night to help me destress. ,I watched a netflix movie as a way to destress. ,,It has made me more aware of the need for selfcare and given me a chance to pause and think about my wellbeing amid the heavy workload. The mentor team discussions were really helpful in allowing me to connect with my peers in more relaxed (non-academic) way.,"With the choice board I realized that I feel better when I rest/relax while enjoying nature, so I did a lot of walking in the park activity. I decided to do this activity more often because I realized that I tend to sit in one spot and work on my homework more often when I am busy with school, but walking keeps me refreshed and allows me to be more productive. ",It allowed me to feel good about myself and be compassionate with myself. 
102,,"I try to take a time off from everything related to work and studying and my favorite thing to do is watch that series, it is not in English, but I feel it helps me a lot, I feel as if I am living with them in their daily life because simply it is all about Egyptian family daily life and different situations they face throughout the day. Another thing I like to do when I feel stressed or want to take a break is to watch or listen something spiritual that helps a lot and relieves the stress.",I called a friend whom I haven’t talked to for a long time. And I started brainstorming some ideas for good gifts for my friends and family at my home country.,"This week I called a friend whim we haven’t talked for a long time, and I spent sometime to meditate.","This week, as a support for my wellbeing, I spent some time to order a dress for my birthday.",This week I was celebrating my birthday in a special way and I met some friends.,,"This week I am deciding on the best time to take a break from everything for 3 or 4 weeks and visit my hometown during summer, so I am trying to book and it is really exciting.",This week Egyptians are having an intense weeks full of events and at the end of this week the  resurrection so I am trying to engage in the events despite of school work.,"I had a very hard and tough day, beside my laptop wasn’t starting up, so my exams-free week wasn’t the best","I am looking forward to our white coat ceremony, inviting some people to attend",I am trying to revise for final and catch up but also thinking about summer and looking back to realize how much I learned and grow too,,The health and wellness time definitely helped me by giving me sometime to take a moment and realized that I an a human and need to pause a lot of times ,"It depends on my mode, time flexibility and other factors too","It had a positive effect on me and I didn’t think it was a waste of time, but I think it was worth it and really needed"
